,id,comment_text,toxic
5,0001ea8717f6de06,Thank you for understanding I think very highly of you and would not revert without discussion,no
7,000247e83dcc1211,Dear god this site is horrible,no
11,0002f87b16116a7f, Somebody will invariably try to add Religion  Really  You mean the way people have invariably kept adding Religion to the Samuel Beckett infobox  And why do you bother bringing up the longdead completely nonexistent Influences issue  Youre just flailing making up crap on the fly   For comparison the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories     ,no
13,0003e1cccfd5a40a,  It says it right there that it IS a type The Type of institution is needed in this case because there are three levels of SUNY schools  University Centers and Doctoral Granting Institutions  State Colleges  Community Colleges  It is needed in this case to clarify that UB is a SUNY Center It says it even in Binghamton University University at Albany State University of New York and Stony Brook University Stop trying to say its not because I am totally right in this case,no
14,00059ace3e3e9a53,   Before adding a new product to the list make sure its relevant   Before adding a new product to the list make sure it has a wikipedia entry already proving its relevance and giving the reader the possibility to read more about it  Otherwise it could be subject to deletion See this articles revision history,no
16,000663aff0fffc80,this other one from 1897,no
17,000689dd34e20979, Reason for banning throwing   This article needs a section on why throwing is banned At the moment to a noncricket fan it seems kind of arbitrary,no
19,000844b52dee5f3f,blocked from editing Wikipedia   ,no
21,00091c35fa9d0465, Arabs are committing genocide in Iraq but no protests in Europe   May Europe also burn in hell,yes
22,000968ce11f5ee34,Please stop If you continue to vandalize Wikipedia as you did to Homosexuality you will be blocked from editing,no
26,000a02d807ae0254,RedSlash cut it short If you have sources stating the RoK is sovereign post them Otherwise please aknowledge WP is not the place to make OR,no
28,000bafe2080bba82,            Jews are not a race because you can only get it from your mother Your own mention of Ethiopian Jews not testing            as Jews proves it is not as well as the fact that we accept converts,no
29,000bf0a9894b2807,If Ollie or others think that one list of the oldest people we know about is too long the easy answer is to raise the cutoff age 110 is purely a round number and a full 12 years shorter then the record We can make it the top 1000 or top 500 or everyone above 115  tell us what the maximum list size is and we can set a threshold,no
31,000c9b92318552d1,Professors to the Manhatten Project,no
33,000cf60dbaed8c02,  Not sure whether this is notable enough to be mentioned in the article but youre right 鈥?versions later than 6 2001 can open files created by all previous versions but save files only in its own format with a suffix of msX where X is the version number 7 8 9 10 11 12 This is intentional of course Besides all versions but 7 save files in a compressed format 鈽叡浜т富涔変竾宀佲槄 ,no
34,000d4f120d5a7303,鞚检澊靷检偓鞓れ湣旃犿寯甑晿瓿犾嫮鞚挫殧 鞐愴棨項?鞙柬棨 鞙柬棨 鞙柬棃項?no,
38,001068b809feee6b,  balance  This page has one sentence about the basic definition of the word and a huge amount about the slangprofane uses Perhaps the former should be extended is there no information about female dogs available beyond their name This is an encyclopaedia not a dictionary     i feel that whoever is looking this definition up is very appropiate and should be deleted from wikipediaIMMEDIATLY this word is used very often and is also a very mean word i belive that is majorly true very much so okay so the good meaning is a female dog  BITCH It also stands for the name Brittany Fellows鈥擯receding unsigned comment added by   鈥?    etymology  The word bitch is from the Old Norse Bikkjuna meaning female of the dog of unknown origin Grimm derives the Old Norse words from Lapp Pittja But OED notes that the converse is equally possible  The adj Bitchy was first seen in 1925   The verb meaning to complain in 1930  Slang Bitchen good is attested to the 1950s   reclaiming the word bitch   The word bitch is actually only offencive in American and Canadian English In most other English variants bitch maintains its correct definition  female canine People have argued that bitch is different because it is used as an insult  but so is pig dog cow and others These are not considered profane so why is bitch As far as I am concerned there is nothing to reclaim as bitch simply means a female canine  It may be used as a pejorative or descriptor  that does not make it a profanity      It should definately say something about Kyle Vanderweilen and all his bitchin Is there any particular evidence of women reclaiming the word bitch in the 90s Can anyone point to articles on this etc The song is definitely interesting and belongs here but doesnt actually reclaim the word bitch any more than it reclaims the word sinner  Also I dont really understand the last paragraph and it sucks  I was going to try and clear it up but I realized I dont know what it means Can someone point to a source that lays out the argument about bitches fertility and patriarchy more clearly   We dont need articles at all as I there are definitely enough examples even outside of the 90s Missy Elliot cleary and repeatedly reclaims the word for instance Shes a Bitch    References are fine  just the name Missy Elliot got me to find a quote of a rolling stone review that mentioned reclaiming the word In fact if some one knows more about her it might be interesting to add a section on her work and on how it relates to womenslurs more generally within hiphop    How relevant is this reclamation It seems to me poison for a woman to use an epithet which still strongly connotes despised traits I dont see how using a word connoting querolous spiteful and malicious can be empowering But I dont know lifes a bitch    It stems from a reaction to the prevalence of tagging any woman who doesnt adhere to a certain standard of femininity as a bitch To use a literary example in the novel The Handmaids Tale the narrator related the feeling that whenever she outsmarted a man she could almost hear him calling her a bitch in his mind even her own husband     That literary reaction you recited is jealousy men have names for other men who outsmart them too but not having a word like bitch for them they have to resort to a greater variety of pejoritive epithets Though you havent been specific I think that standard of femininity you referred to is a pretext for subordination which both sexes often strive to impose on the other but men have traditionally had more power Because it is such a popular epithet in slang the connotations of bitch are diffuse though still commonly pernicious I think bitch in itself is not chiefly a denunciation to punish women who do not conform to that standard but rather a contemptuous word often used for it  However I still dont see the point of reclamati,no
40,0011cefc680993ba,REDIRECT TalkMi Vida Eres T煤,no
41,0011ef6aa33d42e6,  Im not convinced that he was blind Where is this documented Its possible that he was just what wed call Legally blind ie didnt have great vision and that the name Blind Blake is an exaggerated moniker Although I have no proof Ive got a feeling that him being legally blind is more likely than totally blind Of course Ive got no evidence to back that thing up,no
43,0012bb72f20ae971,   Ref SS Ponzi Scheme   Hi Padillah  It is not my opinion that I am trying to impose here although it may appear to be so I am just highlighting the fact that it remains controversial whether it is or isnt a Ponzi Scheme even if a legal one so you cannot state as a fact that it is not a Ponzi Scheme I saw the reference and the perpetrator itself cannot be treated as a reliable source In fact claiming it is not a Ponzi Scheme seems to be an opinion in itself My point is that a claim should not be made either way and the edit in question just accomplishes that   Thank you  Virat,no
45,00137446b1aec28c, September 20th Truce   According to several news sources a truce was reached in Minsk last night httpwwwbbccomnewsworldeurope29290246,no
46,0013a435effa29bd,Id never think Id need to say it but Wikipedia isnt a fansite discussion board If anything is unannounced by any authority it might as well be false MMORPGs are overrated,no
47,0013be435187e84f,But this is not the article about government position but about the reaction Add positions to 2008 Kosovo declaration of independence or Foreign relations of Kosovo,no
49,001411adf8f1dd82, Draculas Grandmother     Draculas grandmother was a Bulgarian princess the sister of Ivan Sratzimir The links with the lands across the Danube remain largely unexamined I would appreciate any serious contributions  Kaloyan,no
51,001426f56de6a49b,I agree with Billfruge The author describes the unverifiable nature of the two competing etymology theories sufficiently well so as not to mislead any reader renders an opinion as to which of the two is more likely and it is clear that this is the authors opinion and presents the reader with the opportunity to accept either or neither of the two,no
56,0016b94c8b20ffa6,I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS,no
58,00177176f33f587e, Can you work your magic   Hi  I was wondring if you had time to help out with WikipediaFeatured article candidatesW E B Du Boisarchive1  Any input would be appreciated  a quick scan or a full review  Ive noticed your work before and I respect your skills Thanks,no
60,001804717513d860,Puwersa ng Masa,no
62,0019400581a6fe32,  There are now four references including Britannica giving the correct date which is getting silly You complain in your edit summary that you cant find them so Ive added quotes to two to help you out After that youre on your own WPSOURCEACCESS has more on this Im happy to concede that Britannica alone mentions the date you offer but without explaining the context so thats one of the sources Ive expanded with a quote specifically mentioning 23 August   Russian Wikipedia has 23 邪胁谐褍褋褌邪 褋懈谢褘 14谐芯 褌邪薪泻芯胁芯谐芯 泻芯褉锌褍褋邪 邪褉屑懈懈 袩邪褍谢褞褋邪 胁褘褕谢懈 泻 袙芯谢谐械 褋械胁械褉薪械械 小褌邪谢懈薪谐褉邪写邪  August 23 forces of the 14th Tank Corps Army of Paulus reached the Volga north of Stalingrad cited from the war diary of ColonelGeneral Franz Haider     ,no
65,001acc29b248cb6d,REDIRECT TalkKemps thicket rat,no
69,001c368c738a814f,See also    httparxivorgabshepph0009204,no
72,001ceacfd4ffa469,May 2010    Please stop If you continue to delete or edit legitimate talk page comments as you did at TalkDeepwater Horizon oil spill you may be blocked for vandalism       If this is a shared IP address and you didnt make the edit consider creating an account for yourself so you can avoid further irrelevant notices,no
73,001ceebc43e65027, BrandonYusofToropov has requested mediation over a conflict with you   Ed UserBrandonYusofToropovBrandonYusofToropov has requested mediation over a conflict with you I am willing to mediate the dispute Do you accept If so please end me an email at pgunndachteorg,no
75,001d39c71fce6f78,  That is ridiculous Unless theres a good and nondisingenuous response I would absolutely agree with you blocking indef outright Falsifying sources should simply never be tolerated   ,no
76,001d739c97bc2ae4,How dare you vandalize that page about the HMS Beagle Dont vandalize again demon,yes
79,001eba8bbe728e54,aapn bhtla aanand jhala,no
81,001eff4007dbb65b,No he is an arrogant self serving immature idiot Get it right,yes
89,0020f1b79913e7c0,Thanks for the comment about Wikidefenderness I like that one I usually wikiling Wikidefender I agree that at first he was somewhat innocent but now have my doubts as he is being really agressive about the whole matter,no
93,0023317d123b6fcb,It might not have been your intention but your recent edit removed content from  Please be careful not to remove content from Wikipedia without a valid reason which you should specify in the edit summary or on the articles talk page Take a look at our welcome page to learn more about contributing to this encyclopedia Thank you  A link to the edit I have reverted can be found here link If you believe this edit should not have been reverted please contact me  Suggestions,no
94,00234e493cedb3e1,Agree but thats not the issue The queston is in everyday English does first amendent refer primarily to the US Constitution or is it ambiguous My belief remains that even fifth amendment is ambiguous and first amendment even more so      ,no
